================================================================================
Testing learning rate: 0.0001
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.0001, optimizer: adam
Epoch [6/15], Step [50/114], Loss: 0.0242
Epoch [6/15], Step [60/114], Loss: 0.0356
Epoch [6/15], Step [70/114], Loss: 0.0224
Epoch [6/15], Step [80/114], Loss: 0.0039
Epoch [6/15], Step [90/114], Loss: 0.0069
Epoch [6/15], Step [100/114], Loss: 0.0170
Epoch [6/15], Step [110/114], Loss: 0.0173
Epoch [6/15], Loss: 0.0246, Train Acc: 99.44%, Test Acc: 95.07%
Epoch [7/15], Step [10/114], Loss: 0.0191
Epoch [7/15], Step [20/114], Loss: 0.0113
Epoch [7/15], Step [30/114], Loss: 0.0050
Epoch [7/15], Step [40/114], Loss: 0.0221
Epoch [7/15], Step [50/114], Loss: 0.0337
Epoch [7/15], Step [60/114], Loss: 0.0303
Epoch [7/15], Step [70/114], Loss: 0.0212
Epoch [7/15], Step [80/114], Loss: 0.0181
Epoch [7/15], Step [90/114], Loss: 0.0167
Epoch [7/15], Step [100/114], Loss: 0.0079
Epoch [7/15], Step [110/114], Loss: 0.0236
Epoch [7/15], Loss: 0.0194, Train Acc: 99.60%, Test Acc: 95.71%
Epoch [8/15], Step [10/114], Loss: 0.0095
Epoch [8/15], Step [20/114], Loss: 0.0442
Epoch [8/15], Step [30/114], Loss: 0.0117
Epoch [8/15], Step [40/114], Loss: 0.0285
Epoch [8/15], Step [50/114], Loss: 0.0062
Epoch [8/15], Step [60/114], Loss: 0.0054
Epoch [8/15], Step [70/114], Loss: 0.0094
Epoch [8/15], Step [80/114], Loss: 0.0210
Epoch [8/15], Step [90/114], Loss: 0.0149
Epoch [8/15], Step [100/114], Loss: 0.0143
Epoch [8/15], Step [110/114], Loss: 0.0647
Epoch [8/15], Loss: 0.0154, Train Acc: 99.68%, Test Acc: 94.87%
Epoch [9/15], Step [10/114], Loss: 0.0096
Epoch [9/15], Step [20/114], Loss: 0.0081
Epoch [9/15], Step [30/114], Loss: 0.0039
Epoch [9/15], Step [40/114], Loss: 0.0045
Epoch [9/15], Step [50/114], Loss: 0.0045
Epoch [9/15], Step [60/114], Loss: 0.0016
Epoch [9/15], Step [70/114], Loss: 0.0016
Epoch [9/15], Step [80/114], Loss: 0.0016
Epoch [9/15], Step [90/114], Loss: 0.0093
Epoch [9/15], Step [100/114], Loss: 0.0011
Epoch [9/15], Step [110/114], Loss: 0.0033
Epoch [9/15], Loss: 0.0107, Train Acc: 99.82%, Test Acc: 95.47%
Epoch [10/15], Step [10/114], Loss: 0.0171
Epoch [10/15], Step [20/114], Loss: 0.0015
Epoch [10/15], Step [30/114], Loss: 0.0028
Epoch [10/15], Step [40/114], Loss: 0.0013
Epoch [10/15], Step [50/114], Loss: 0.0017
